layer,run,avg_wt_mg,min_wt_mg,max_wt_mg,rsd_pct
TAM_inner,TF3,125.2,121,132,2.56
FIN_outer,FF1,130.2,127.6,135.4,1.77
TAM_inner,TF4,125.32,121,132,2.51
FIN_outer,FF2,130.5,126.7,134.8,1.68
TAM_inner,TF5,125.31,121,131.7,2.5
FIN_outer,FF3,130.2,127.1,136.7,1.85
TAM_inner,TF6,125.21,121,131.7,2.45
FIN_outer,FF4,128.5,126.8,132.2,1.19
TAM_inner,TF7,125.19,121,132,2.36
FIN_outer,FF5,129.5,122.4,138.7,2.92
TAM_inner,TF8,125.2,121,131,2.06
FIN_outer,FF6,130.5,127.0,136.6,2.15
TAM_inner,TF9,125.3,122,131,1.97
FIN_outer,FF7,130.1,125.5,133.6,1.8
TAM_inner,TF10,125.33,121,131.5,2.14
FIN_outer,FF8,129.6,125.3,134.1,1.95
TAM_inner,TF11,FF9,131.6,127.5,137
TAM_inner,TF12,125.21,121,129,1.82
FIN_outer,FF10,132.8,127.8,137.6,2.5
