case,kind,name,formula_sigma,published,abs_err_pct,tolerance_band,interpretation
case1_sharma_2020,factor,X1 osmogen (%),17.297,13.308,30.0,within 40%,FS optimum richer in osmogen
case1_sharma_2020,factor,X2 orifice size (mm),0.991,0.603,64.3,beyond 40%,FS finds larger orifice - response surface broad in this dimension
case1_sharma_2020,factor,X3 coating weight gain (%),12.964,7.960,62.9,beyond 40%,FS optimum higher coating weight gain
case1_sharma_2020,response,Y1 1h (%),10.578,17.730,40.3,beyond 30%,FS predicts slower release at FS optimum (consistent with higher coating weight gain)
case1_sharma_2020,response,Y2 6h (%),51.460,53.235,3.3,within 30%,
case1_sharma_2020,response,Y3 12h (%),99.444,91.886,8.2,within 30%,
case1_sharma_2020,response,Y4 RSQ-zero,0.994,0.960,3.5,within 30%,
case2_arif_2022,factor,Precirol (%),69.793,80.550,13.4,within 15%,
case2_arif_2022,factor,Labrasol (%),23.255,19.450,19.6,beyond 15%,Constrained mixture - small absolute shift inside the simplex
case2_arif_2022,factor,Surfactant (%),4.073,5.000,18.5,beyond 15%,
case2_arif_2022,response,Particle size (nm),68.68,157.90,56.5,beyond 10%,FS desirability favours smaller PS (lower-is-better objective)
case2_arif_2022,response,PDI,0.229,0.241,5.1,within 10%,
case2_arif_2022,response,EE (%),71.65,85.00,15.7,beyond 10%,
case3_boscolo_2023,factor,Stabiliser (%),0.412,0.300,37.3,beyond 30%,
case3_boscolo_2023,factor,Amplitude (W),72.59,50.00,45.2,beyond 30%,Published paper reports X2 (amplitude) not significant - FS optimum drifts in this dimension as expected
case3_boscolo_2023,factor,Sonication (min),7.84,5.00,56.7,beyond 30%,
case3_boscolo_2023,response,Particle size (nm),352.24,352.40,0.05,within 30%,FS predicted response matches published target (delta 0.16 nm)
case1b_akhtar_2024_TAM,factor,HPMC (%),34.22,30.00,14.1,within 30%,
case1b_akhtar_2024_TAM,factor,Avicel (%),25.84,25.00,3.4,within 30%,
case1b_akhtar_2024_FIN,factor,Triacetin (%),1.20,1.50,20.0,within 30%,
case1b_akhtar_2024_FIN,factor,Talc (%),0.77,1.00,23.0,within 30%,
case4_nemr_2022,factor,PC:EA ratio,3.30,3.00,9.9,within 30%,
case4_nemr_2022,factor,HA (%),0.169,0.150,12.7,within 30%,
case4_nemr_2022,response,PS (nm),509.3,~500,1.9,within 30%,FS reproduces order of magnitude of published optimum cluster
